videoId,title,description,publishedAt,channelTitle,query,viewCount,likeCount,commentCount,tags,comments,commentsCount,published_date
WEJVwlVIms4,"Gaza War: 2 Years, Over 70,000 Lives Lost | Full Documentary","For 2 years, Gaza has been living through one of the deadliest conflicts of our time. More than 70000 lives lost. Thousands of ...",2026-01-17T14:45:08Z,MrSingh TimeBox,Gaza war,1,0,0,"['GazaWar', 'GazaDocumentary', 'WarDocumentar', 'MiddleEastCrisis', 'GazaTruth', 'WorldNews', 'ConflictZone', 'HumanRights', 'WarReality', 'NewsExplained', 'HistoryDocumentary', 'TrendingNow', 'RealStories', 'DocumentaryFilm', 'GlobalCrisis']",[],0,2026-01-17
dMjiD_IJadA,Greenwald SHUTS DOWN Iran War Propagandist&#39;s ABSURD LIES About Gaza,"If you like our content and would like to help us create more of it, please consider becoming a locals member! Members access ...",2026-01-17T14:08:12Z,Due Dissidence,Gaza war,2865,603,99,[],"[{'videoId': 'dMjiD_IJadA', 'commentId': 'UgxrtcLxT7akF9h98MR4AaABAg', 'author': '@kevinstreeter6943', 'text': 'So then is Iran leveling whole cities?', 'likeCount': 42, 'publishedAt': '2026-01-17T14:37:20Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzIPQ2XXqYMKJ0hiYB4AaABAg', 'author': '@bornaseki4195', 'text': 'May I finish my bullshit lies please good sir.', 'likeCount': 35, 'publishedAt': '2026-01-17T14:25:50Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugz2iHyyF-I7CcQGvtR4AaABAg', 'author': '@kevinstreeter6943', 'text': 'Israel is putting people in prison for social media posts.', 'likeCount': 26, 'publishedAt': '2026-01-17T14:40:06Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzoSyD1Bi9z80MqccZ4AaABAg', 'author': '@SplatTheCat', 'text': 'More than 300,000 civilians have been murdered in Palestine (Gaza). Not 70K.', 'likeCount': 17, 'publishedAt': '2026-01-17T15:37:17Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugw4oekJ05aD1OiY4al4AaABAg', 'author': '@ThomasEdwards13', 'text': 'Israel always puts up the Pretty Woman strategy and it fails every time.', 'likeCount': 6, 'publishedAt': '2026-01-17T15:53:42Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgxUczd-rdXHod5-ClV4AaABAg', 'author': '@ClearSight2C', 'text': 'This person&#39;s name is Lisa.  I&#39;m an iranian and know her name is not.  She totally is an Israelie mouthpiece. I really tried hard to keep myself from calling her what she is.', 'likeCount': 22, 'publishedAt': '2026-01-17T14:46:12Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgxsjkR2r2mhgZcMPqh4AaABAg', 'author': '@flyingfishnet', 'text': 'lol. “there could be more people killed in the protests than in Gaza” <br>She obviously believes Tehran has been flattened.', 'likeCount': 21, 'publishedAt': '2026-01-17T14:27:58Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugwjn9g3F2LTRg0RH_94AaABAg', 'author': '@SplatTheCat', 'text': 'Mark Levin doesn&#39;t care about Iran. He has repeatedly demanded that U.S. bomb Iran.', 'likeCount': 4, 'publishedAt': '2026-01-17T15:38:42Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzmnOX5AXEHozpZdgR4AaABAg', 'author': '@airmark02', 'text': 'She wouldn&#39;t survive 10 minutes in Gaza .... just awful', 'likeCount': 3, 'publishedAt': '2026-01-17T15:46:48Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgwM2Zuq_S6fpuVIgOV4AaABAg', 'author': '@magnusskallagrimsson6707', 'text': 'Any person advocating for Iranian regime change who only goes back as far as the Shah but ignores Mohammad Mosaddegh, does not not have the best interests of Iran at heart.', 'likeCount': 4, 'publishedAt': '2026-01-17T15:39:32Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugweo1twvfgTVa3_DVp4AaABAg', 'author': '@Robert-h1v8e', 'text': 'How come Van Jones doesn&#39;t say the same thing about Palestinians?... &quot;Free these Palestinians!&quot;.', 'likeCount': 5, 'publishedAt': '2026-01-17T14:57:33Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugw9kxhM91bY5yAKcu14AaABAg', 'author': '@robertburnett6348', 'text': 'Just saw another photo of a starving Gaza kid. And the shooting of little kids. To be ok with this is just evil.', 'likeCount': 2, 'publishedAt': '2026-01-17T16:49:25Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugx92ScIq2YEMzs_Mrd4AaABAg', 'author': '@leonietaylor4227', 'text': 'Bravo Glenn!!!! Thank you for giving us the TRUTH❤❤❤❤', 'likeCount': 0, 'publishedAt': '2026-01-17T17:30:25Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugw3qLlFOeECrLxgii94AaABAg', 'author': '@jbp4532', 'text': 'That&#39;s the purpose of the Piers Morgan show, elevate the lowest common denominator talking points so they are the only talking points at the table.', 'likeCount': 3, 'publishedAt': '2026-01-17T15:02:38Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgyiGm_gNyaoSfu0ukt4AaABAg', 'author': '@resurrectedone7463', 'text': '“We create a pretend world. We are a global production company: We write the screenplay, we’re the directors, we’re the producers, we’re the main actors. And the world is our stage,” - &quot;Michael&quot; (retired Mossad agent)', 'likeCount': 21, 'publishedAt': '2026-01-17T14:21:07Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugy33vjStbyf1H30MTN4AaABAg', 'author': '@bill5129-q7l', 'text': 'The Tiny Hat Mafia is out of control', 'likeCount': 2, 'publishedAt': '2026-01-17T15:22:02Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzbTHvcRSdpN3zBu_94AaABAg', 'author': '@kenpentel3396', 'text': 'Thank you', 'likeCount': 1, 'publishedAt': '2026-01-17T16:21:31Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgylQ3XJVrVbqFiVBaN4AaABAg', 'author': '@khdmhd2947', 'text': 'If PBD had a gender re-assignment surgery = Lisa <br><br>😁', 'likeCount': 2, 'publishedAt': '2026-01-17T16:49:14Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgxdyHPhkYnJ76B0-_N4AaABAg', 'author': '@williamlitsch5506', 'text': 'Probaby 500,000 dead Palestinians, maybe 5000 valid targets, compared to 500 dead Iranian protesters, probably 300 of which were shooting police and lighting them on fire in their cop cars with flame throwers provided my Mossad.  There is no moral equivalence there.', 'likeCount': 21, 'publishedAt': '2026-01-17T14:26:42Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzPLknCRQ4urm4e3LN4AaABAg', 'author': '@misterpryde7303', 'text': 'the Belgians in Congo made no excuses that I know', 'likeCount': 1, 'publishedAt': '2026-01-17T15:25:24Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzBrceeYTiWWmrqpRt4AaABAg', 'author': '@Pw2-p4x', 'text': 'I can&#39;t believe Greenwald lowered himself to appear on the panel.  It was nothing but a screaming match as are all Morgan&#39;s shows.  The content is worthless given the length of each episode.', 'likeCount': 3, 'publishedAt': '2026-01-17T15:12:09Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgwGXBzMIykp0NSUsa14AaABAg', 'author': '@redpillscience1288', 'text': 'Sell out of the year 😂😂😂', 'likeCount': 2, 'publishedAt': '2026-01-17T16:26:08Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugys7eJeSZFtcE-Wk6t4AaABAg', 'author': '@WaikikiIoKea-t3s', 'text': 'Lies of gods chozen...yaaaaawn...they bore me', 'likeCount': 2, 'publishedAt': '2026-01-17T16:33:07Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgyrC-CWwMcoSxL4p7Z4AaABAg', 'author': '@philmstud2k', 'text': 'Another point: 80%+ of Iranians today are under 40.  They didn&#39;t EXIST in the Shah era, they&#39;ve only known the Islamic Republic all their lives.  So, no, it&#39;s inaccurate to say &quot;the same people of Iran who ousted the Shah are supposedly the same ones asking for his return&quot;, because most of the people weren&#39;t around then.  And &quot;brutal dictator&quot; or not (all relative and should be looked at within the context of the times and Iran&#39;s neighbors), the Shah era was certainly not as brutal or murderous as the current Islamic Republic.', 'likeCount': 3, 'publishedAt': '2026-01-17T16:14:55Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgxFnwF2fv4aG4LB07Z4AaABAg', 'author': '@williamlitsch5506', 'text': 'I don&#39;t think many Romans or Greeks, or really any ancient empire actually required the justifications for war that we now require. Medieval European wars were too tightly controlled and noble led affairs. Ancient wars allowed their soldiers to r@pe and pillage. <br><br>Everyone knew that the war was for pillage and the soldiers accepted it because they were share holders. War isn&#39;t run that way anymore. Soldiers are told lies and are given abstractions meant to explain why they are paid only as much as construction worker for risking their lives.  They actually have no other stake than ideology.', 'likeCount': 3, 'publishedAt': '2026-01-17T14:49:37Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgyOilqq6nIu6JITLGp4AaABAg', 'author': '@011258stooie', 'text': '&quot;Shock and Aur&quot; was an illusion.', 'likeCount': 0, 'publishedAt': '2026-01-17T17:14:37Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'Ugxcp0NM90f8kf7r-1d4AaABAg', 'author': '@trevorberenger7913', 'text': 'Piers needs to regime change himself,pronto.', 'likeCount': 1, 'publishedAt': '2026-01-17T17:00:28Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgzNQJYyV4N_0-Pjnut4AaABAg', 'author': '@AWolfNamedRemus', 'text': '🔥🙏', 'likeCount': 0, 'publishedAt': '2026-01-17T15:24:51Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgyOOrIjgLjoqoGQUix4AaABAg', 'author': '@jonathanmurray1573', 'text': 'Stop interrupting my lies! I have to get my check from the star flag state!', 'likeCount': 1, 'publishedAt': '2026-01-17T16:14:17Z', 'sentiment': 'neutral'}, {'videoId': 'dMjiD_IJadA', 'commentId': 'UgxSHD3Cmf1sTrGHYfB4AaABAg', 'author': '@rajaratnam9', 'text': 'Sudan, Kongo, Burma people are being killed daily, so why don’t the UsA help them.', 'likeCount': 1, 'publishedAt': '2026-01-17T16:42:00Z', 'sentiment': 'neutral'}]",30,2026-01-17
ezBGBFxR1Ik,Gaza peace board | Geop,globalissues #worldnews #news #geopolitics #usa #trump #gaza #palestine #israel #peace #war.,2026-01-17T13:48:09Z,Geop,Gaza war,12,1,0,[],[],0,2026-01-17
qwK_8WNn-98,“Tony Blair &amp; Marco Rubio Named on Gaza ‘Board of Peace’ — Big Questions Raised!” #breakingnews,Marco Rubio are among the names linked to a proposed Gaza “Board of Peace.” The move has sparked global debate over ...,2026-01-17T13:45:44Z,World Now,Gaza war,634,5,2,[],"[{'videoId': 'qwK_8WNn-98', 'commentId': 'UgzEjA1vfzRLDJFpq494AaABAg', 'author': '@anjumali3069', 'text': 'building assets on dead bodies of palestinians, may they have nightmares of hell fires', 'likeCount': 0, 'publishedAt': '2026-01-17T16:43:35Z', 'sentiment': 'neutral'}, {'videoId': 'qwK_8WNn-98', 'commentId': 'UgxjItubx64dy-Dr8wZ4AaABAg', 'author': '@MikeDone-e2x', 'text': 'Tony blair belongs in prison.. peace deal? 😅😅😅 yeah, whatever.', 'likeCount': 0, 'publishedAt': '2026-01-17T15:53:04Z', 'sentiment': 'neutral'}]",2,2026-01-17
LRtUR_ur3Ac,গাজায় কি শান্তি আনতে পারবেন ‘অশান্তির কারিগররা’| Gaza War | Middle East Politics | Israel Palestine,Nagorik Protidin Global is an independent digital news and analysis platform delivering verified stories from Bangladesh and ...,2026-01-17T12:35:29Z,Nagorik Protidin Global,Gaza war,0,0,0,"['Gaza War', 'Middle East Politics', 'Israel Palestine Conflict', 'Peace Process', 'World Politics', 'Gaza Ceasefire', 'International Diplomacy', 'Geopolitics', 'Humanitarian Crisis', 'Global Security', 'War Analysis', 'UN Role', 'US Middle East Policy', 'Arab Politics', 'World News', 'Gaza', 'ইসরায়েল ফিলিস্তিন', 'মধ্যপ্রাচ্য রাজনীতি', 'গাজা যুদ্ধ', 'শান্তি প্রক্রিয়া', 'আন্তর্জাতিক রাজনীতি', 'বিশ্লেষণ']",[],0,2026-01-17
58FJ0CzurjM,After Deterrence from Russia DJ Chump Announces Phase 2 of GAZA WAR PLAN,"find me on Rumble, BitChute and Odysee where I can share more https://rumble.com/c/c-2014462 ...",2026-01-17T12:25:11Z,Israelite Foreigner 3,Gaza war,3,1,0,[],[],0,2026-01-17
wakIMPaMeT8,বর্বরতার জেরে ইসরায়েলি সেনাদের মধ্যে বাড়ছে আত্মহত্যার প্রবণতা | Israel Army | Gaza War | RTNN News,বর্বরতার জেরে ইসরায়েলি সেনাদের মধ্যে বাড়ছে আত্মহত্যার প্রবণতা ...,2026-01-17T12:18:28Z,RTNN ,Gaza war,0,0,0,"['rtnn', 'breakingnews', 'banglanews', 'latestnews', 'political news', 'bdpolitics', 'real time news network', 'Israel Army', 'Israeli Soldiers Suicide', 'Gaza War', 'Israel Hamas War', 'Middle East News', 'Gaza Crisis', 'War Crime Israel', 'Palestine Gaza News', 'International News Bangla', 'ইসরায়েল সংবাদ', 'গাজা যুদ্ধ', 'ইসরায়েলি সেনা', 'আত্মহত্যা', 'মধ্যপ্রাচ্য সংকট', 'RTNN News']",[],0,2026-01-17
L5ytudsd9W8,ياغزه نواره طبعك دوم جباره #طرب #اكسبلور #تصميمي #لايك #غزة #trend #gaza,,2026-01-17T12:11:02Z,A.,Gaza war,231,3,0,[],[],0,2026-01-17
wKK4KznlmEE,Gaza War Explained: Why This Conflict Never Ends #GazaWar #IsraelPalestine #ConflictExplained,"The Gaza War remains one of the longest-running and most complex conflicts in modern history. In this video, we break down why ...",2026-01-17T12:02:47Z,Around The Wall,Gaza war,212,3,0,"['GazaWarExplained,IsraelPalestineConflict,WhyConflictNeverEnds,GazaHistory,MiddleEastExplained,IsraelGazaWar,PalestineHistory,HamasIsraelConflict,GazaCeasefire,TwoStateSolution,ArabIsraeliConflict,GlobalPoliticsExplained,WarExplained,HistoricalConflict,GazaNews,ConflictAnalysis,Geopolitics,HumanRights,GazaLife,PeaceProcess,DiplomacyExplained,CurrentAffairs,WorldHistory,PoliticalExplainer']",[],0,2026-01-17
WdRNONBICnM,Trump’s &quot;Board of Peace&quot;: Can This End the Gaza War? 🇺🇸 #trump #geopolitics #breakingnews #usa #news,"Breaking News: President Trump has officially launched ""Phase Two"" of the Gaza Peace Plan, creating what he calls the ""Greatest ...",2026-01-17T10:19:03Z,Daily World Decode,Gaza war,383,3,1,[],"[{'videoId': 'WdRNONBICnM', 'commentId': 'Ugw6HHYcNHtEwARvYiF4AaABAg', 'author': '@DailyWorldDecode', 'text': 'Comment &quot;Peace&quot; if you think this will work, and subscribe for updates!', 'likeCount': 1, 'publishedAt': '2026-01-17T10:19:51Z', 'sentiment': 'neutral'}]",1,2026-01-17
